batsman,total_runs,outs,numberofballs,average,strikerate
V Kohli,5426,152,4111,35.70,131.99
SK Raina,5386,160,3916,33.66,137.54
RG Sharma,4902,161,3742,30.45,131.00
DA Warner,4717,114,3292,41.38,143.29
S Dhawan,4601,137,3665,33.58,125.54
CH Gayle,4525,110,2972,41.14,152.25
MS Dhoni,4450,118,3206,37.71,138.80
RV Uthappa,4420,156,3381,28.33,130.73
AB de Villiers,4414,104,2902,42.44,152.10
G Gambhir,4219,134,3400,31.49,124.09
AM Rahane,3834,117,3133,32.77,122.37
KD Karthik,3669,138,2813,26.59,130.43
SR Watson,3590,115,2566,31.22,139.91
AT Rayudu,3313,114,2616,29.06,126.64
YK Pathan,3222,110,2240,29.29,143.84
BB McCullum,2886,106,2185,27.23,132.08
PA Patel,2864,127,2352,22.55,121.77
MK Pandey,2855,95,2352,30.05,121.39
KA Pollard,2772,102,1879,27.18,147.53
Yuvraj Singh,2755,109,2121,25.28,129.89
V Sehwag,2728,98,1746,27.84,156.24
M Vijay,2589,93,2104,27.84,123.05
SE Marsh,2489,65,1866,38.29,133.39
JH Kallis,2427,89,2219,27.27,109.37
DR Smith,2385,81,1758,29.44,135.67
SR Tendulkar,2334,71,1943,32.87,120.12
SV Samson,2215,79,1693,28.04,130.83
R Dravid,2174,77,1877,28.23,115.82
AC Gilchrist,2069,76,1492,27.22,138.67
SPD Smith,2038,59,1570,34.54,129.81
JP Duminy,2031,49,1633,41.45,124.37
KL Rahul,1988,49,1428,40.57,139.22
MEK Hussey,1977,52,1608,38.02,122.95
RA Jadeja,1931,83,1567,23.27,123.23
F du Plessis,1861,56,1459,33.23,127.55
DA Miller,1858,54,1327,34.41,140.02
DPMD Jayawardene,1808,64,1460,28.25,123.84
WP Saha,1767,74,1340,23.88,131.87
RR Pant,1767,49,1071,36.06,164.99
AJ Finch,1741,66,1332,26.38,130.71
MK Tiwary,1696,60,1446,28.27,117.29
SS Iyer,1695,57,1321,29.74,128.31
KC Sangakkara,1687,69,1387,24.45,121.63
NV Ojha,1555,74,1308,21.01,118.88
Mandeep Singh,1535,71,1227,21.62,125.10
DJ Bravo,1494,63,1155,23.71,129.35
Q de Kock,1478,46,1109,32.13,133.27
KK Nair,1465,61,1137,24.02,128.85
S Badrinath,1441,48,1210,30.02,119.09
AD Russell,1415,41,752,34.51,188.16
GJ Maxwell,1401,62,864,22.60,162.15
BJ Hodge,1400,46,1117,30.43,125.34
JC Buttler,1396,37,919,37.73,151.90
SC Ganguly,1349,54,1261,24.98,106.98
DJ Hussey,1322,48,1069,27.54,123.67
KS Williamson,1309,34,964,38.50,135.79
CA Lynn,1288,37,909,34.81,141.69
SS Tiwary,1276,42,1064,30.38,119.92
MA Agarwal,1269,67,988,18.94,128.44
TM Dilshan,1153,41,1006,28.12,114.61
IK Pathan,1150,52,948,22.12,121.31
ML Hayden,1107,27,802,41.00,138.03
N Rana,1093,40,808,27.33,135.27
KM Jadhav,1087,46,851,23.63,127.73
HH Pandya,1082,38,689,28.47,157.04
LMP Simmons,1079,27,851,39.96,126.79
LRPL Taylor,1017,41,818,24.80,124.33
M Vohra,1013,42,767,24.12,132.07
KP Pietersen,1001,28,740,35.75,135.27
AS Yadav,995,35,746,28.43,133.38
Y Venugopal Rao,985,42,834,23.45,118.11
JA Morkel,975,40,682,24.38,142.96
A Symonds,974,26,748,37.46,130.21
CL White,971,35,760,27.74,127.76
MC Henriques,969,35,756,27.69,128.17
KH Pandya,897,32,609,28.03,147.29
HH Gibbs,886,32,802,27.69,110.47
STR Binny,880,44,683,20.00,128.84
EJG Morgan,854,38,702,22.47,121.65
Harbhajan Singh,831,56,597,14.84,139.20
AR Patel,800,43,628,18.60,127.39
MS Bisla,798,37,697,21.57,114.49
SP Narine,785,40,458,19.63,171.40
ST Jayasuriya,768,29,531,26.48,144.63
RA Tripathi,761,27,553,28.19,137.61
Shakib Al Hasan,750,34,588,22.06,127.55
GC Smith,739,30,666,24.63,110.96
AD Mathews,724,31,573,23.35,126.35
Ishan Kishan,701,31,531,22.61,132.02
TL Suman,676,30,573,22.53,117.98
AM Nayar,672,39,574,17.23,117.07
GJ Bailey,663,29,543,22.86,122.10
BA Stokes,641,30,481,21.37,133.26
SA Yadav,608,29,465,20.97,130.75
JD Ryder,604,29,456,20.83,132.46
P Shaw,604,24,423,25.17,142.79
PP Chawla,584,50,519,11.68,112.52
HM Amla,577,13,407,44.38,141.77
V Shankar,563,17,416,33.12,135.34
CJ Anderson,538,22,423,24.45,127.19
RS Bopara,531,19,452,27.95,117.48
JP Faulkner,527,28,387,18.82,136.18
DJ Hooda,526,33,413,15.94,127.36
CH Morris,519,20,327,25.95,158.72
M Manhas,514,24,469,21.42,109.59
S Gill,510,14,377,36.43,135.28
OA Shah,506,13,386,38.92,131.09
PC Valthaty,505,22,415,22.95,121.69
MP Stoinis,476,15,362,31.73,131.49
J Bairstow,459,8,284,57.38,161.62
DT Christian,448,24,373,18.67,120.11
Gurkeerat Singh,443,26,342,17.04,129.53
E Lewis,437,16,327,27.31,133.64
NLTC Perera,424,24,305,17.67,139.02
SA Asnodkar,423,19,339,22.26,124.78
JR Hopes,417,17,305,24.53,136.72
SN Khan,412,18,285,22.89,144.56
J Botha,409,22,358,18.59,114.25
LR Shukla,405,29,346,13.97,117.05
AL Menaria,401,22,356,18.23,112.64
MV Boucher,394,15,308,26.27,127.92
CA Pujara,390,18,391,21.67,99.74
Azhar Mahmood,388,19,302,20.42,128.48
R Ashwin,376,33,336,11.39,111.90
DB Ravi Teja,375,20,317,18.75,118.30
S Sohal,368,18,290,20.44,126.90
A Mishra,366,29,385,12.62,95.06
P Negi,365,26,288,14.04,126.74
R Bhatia,342,29,284,11.79,120.42
P Kumar,340,34,314,10.00,108.28
AP Tare,339,24,273,14.13,124.18
SW Billings,337,19,250,17.74,134.80
JEC Franklin,327,11,300,29.73,109.00
RN ten Doeschate,326,17,234,19.18,139.32
KV Sharma,317,21,270,15.10,117.41
R Vinay Kumar,310,26,271,11.92,114.39
DB Das,304,12,260,25.33,116.92
C de Grandhomme,304,15,223,20.27,136.32
M Ali,302,10,177,30.20,170.62
LA Pomersbach,302,11,244,27.45,123.77
UBT Chand,300,20,300,15.00,100.00
SP Goswami,295,18,290,16.39,101.72
DJG Sammy,295,15,241,19.67,122.41
Y Nagar,285,15,257,19.00,110.89
VVS Laxman,282,16,266,17.63,106.02
GH Vihari,280,18,312,15.56,89.74
A Ashish Reddy,280,15,191,18.67,146.60
B Chipli,280,16,250,17.50,112.00
MJ Lumb,278,10,193,27.80,144.04
MJ Guptill,271,12,196,22.58,138.27
R Sathish,270,16,231,16.88,116.88
M Kaif,259,16,249,16.19,104.02
SM Katich,241,10,184,24.10,130.98
BCJ Cutting,239,11,141,21.73,169.50
MD Mishra,237,15,208,15.80,113.94
MR Marsh,225,12,196,18.75,114.80
K Goel,218,13,230,16.77,94.78
AA Jhunjhunwala,217,14,210,15.50,103.33
TM Head,205,6,148,34.17,138.51
